,name,age,ope,con,ext,agr,neu,gender
0,svd_300_results,0.64,0.45,0.27,0.33,0.27,0.31,0.96
1,svd_1000_results,0.65,0.43,0.24,0.32,0.25,0.29,0.96
2,svd_1500_results,0.65,0.41,0.22,0.3,0.25,0.28,0.96
3,lda_100_results,0.68,0.38,0.24,0.23,0.17,0.23,0.88
4,lda_150_results,0.71,0.38,0.23,0.24,0.18,0.23,0.88
